지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균최저기온(°C),평균최고기온(°C),평균 해면기압(hPa),합계 강수량(mm),일 최다 강수량(mm),평균 상대습도(%),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균 풍속(m/s),최다 풍향(16방위),합계 소형 증발량(mm),합계 대형 증발량(mm)
100,대관령,1995,6.1,-19,29.3,1.6,11,1016,1337.8,101.6,67.6,2249.5,50.53,4555.44,4.8,270,1167.1,466.8
100,대관령,1996,6,-20.1,29.5,1.5,10.8,1016.5,1439.1,94.5,70.3,2145.4,48.09,4450.72,4.2,270,992.8,356.5
100,대관령,1997,6.7,-20.6,29,2,11.4,1016.2,1760.5,101,72.4,2236.3,50.23,4423.88,4.6,270,1120.2,408.5
100,대관령,1998,7.5,-21.5,27.3,3.4,11.6,1016.8,2998.3,256,76.6,1922,43.18,3719.92,4.2,270,209,
100,대관령,1999,7,-20,30.1,2.7,11.8,1016.1,2199.2,233.1,72.3,2243.3,50.39,4321.3,4.4,270,,
100,대관령,2000,6.9,-20.2,30.3,2.2,11.9,1015.5,1559.4,175.8,71.2,2183.4,48.95,4336.01,4.3,270,,
100,대관령,2001,7.5,-25.6,31.3,2.8,12.8,1015.3,1551.7,83.5,74.1,2190,49.2,5159.1,4.7,270,,
100,대관령,2002,7.5,-19.2,30.6,2.9,12.7,1014.8,2697.6,712.5,73.9,2145.1,48.16,4946.77,4.6,270,,
100,대관령,2003,6.8,-22.6,29.2,2.3,11.8,1016.1,2685.4,216,79.9,1814,40.72,4340.59,3.9,270,,
100,대관령,2004,7.8,-24.3,31.3,3,13.3,1015.3,1815.5,192.5,72.4,2278.1,51.04,4937.35,4.3,270,,
100,대관령,2005,6.6,-21,32.3,1.9,11.9,1015,1881.1,179,73.3,2267.5,50.9,4913.33,4.5,250,,
100,대관령,2006,6.9,-23.5,30.6,2.4,12.1,1015.9,2112.9,171.5,76.2,1861.3,41.78,4687.08,3.6,250,,
100,대관령,2007,7.6,-20,30.2,3.1,12.6,1015.9,1401.1,76.5,75.3,1903.7,42.74,4976.09,3.4,270,,
100,대관령,2008,7.2,-26.2,30.1,2,12.4,1016.4,1128.6,212.5,74.2,2084.4,46.7,5240,3.3,270,,
100,대관령,2009,7.4,-18.6,29.9,2.4,12.6,1015.5,1331.7,159,72.6,2071.6,46.51,5173.58,3.4,270,,
100,대관령,2010,7.2,-24,30.1,2.4,12.2,1016,1217.3,85,72.8,1999.6,44.89,5134.83,3.6,270,,
100,대관령,2011,6.8,-23.8,28.3,1.7,11.8,1016.6,1762.1,126.5,72.1,2073,46.53,5060.21,3.4,270,,
100,대관령,2012,6.5,-23.5,30.7,1.5,11.6,1016,1288.7,123.5,73.5,2363.7,52.95,4927,3.4,270,,
100,대관령,2013,7.5,-26.8,30.1,2.5,12.7,1015.5,1052.3,122,73.2,2467.1,55.39,5055.32,3.8,270,,
100,대관령,2014,7.7,-19.8,30.6,2.3,13,1016.6,1308.2,127,73.5,2382.3,53.49,4896.93,3.2,270,,
100,대관령,2015,8,-19.8,30,2.7,13.4,1016.4,981.9,201.5,72.5,2570.8,57.71,5091.41,3.3,270,,
100,대관령,2016,8.1,-23,32.4,2.9,13.5,1016.4,1184,152.5,72.9,2719.4,60.92,5111.95,3.4,270,520.8,364.1
100,대관령,2017,7.3,-21.1,31.1,2,12.5,1016.4,1025.3,132.1,71.3,2909,65.31,5245.9,3.5,270,1274.8,892.9
100,대관령,2018,7.2,-24.4,32.9,2,12.5,1017,1731.4,81.5,71.9,2661,61.55,5013.13,3.5,270,1265.5,885.6
100,대관령,2019,8.1,-20.1,30.2,2.7,13.6,1016.5,1198.5,118,74.2,2590.2,58.14,5408.38,2.9,270,1290.4,903.3
100,대관령,2020,7.8,-24,31.6,2.7,13.1,1016.8,1755.8,137.3,77.1,2520.3,56.46,5488.78,3.1,270,1213.3,849.3
100,대관령,2021,7.9,-24.3,30.6,2.9,13.3,1016.9,1027.3,69,75.7,2451,55.02,5390.17,3,270,1215.9,851
100,대관령,2022,7.6,-21.8,30.3,2.2,13.2,1017.1,1361.2,101.9,70.8,2500.5,57.37,5582.71,3.1,270,1345.9,941.4
100,대관령,2023,8.5,-25.2,31.8,3.2,14,1017.1,1291.8,101.1,73.7,2186.6,50.24,5544.15,3,270,1342.6,939.8
